Front Text;Back Text
mate;kumpel
grand;okazały, świetny, wielki
inheritance;spadek, spuścizna
wonderful;wspaniały, cudowny
departed;nieboszczyk, zmarły
footpath;ścieżka dla pieszych, szlak
away;daleko, w inną stronę, stąd
diver;skoczek(do wody), nurek
entry;wejście
data;dane
nail;paznokieć, gwóźdź
cybernetics;cybernetyka
treachery;oszustwo, zdrada
lump;bryła, guzek, kostka(CUKRU)
cash flow;przepływ gotówki
sense;zmysł, uczucie, sens, znaczenie
topple;przewracać się
draught;(UK) powiew, duży łyk, mikstura, pionek w warcabach
polynomial;wielomian(MATH)
mush;papka, breja
happy;szczęśliwy
laziness;lenistwo
fabric;tkanina, struktura(SOCIETY), konstrukcja
avenger;mściciel
insecure;niepewny
warning;ostrzeżenie
floppy;(miękko) opadający
highness;her/his highness - jego/jej wysokość
assurance;zapewnienie(promise), ubezpieczenie(insurance)
mosquito;pl mosquitoes - komar
melt;topić się(METAL), topnieć, roztapiać
briefcase;aktówka
bush;krzew, krzak, busz
graffiti;graffiti
sundae;deser lodowy
picky;wybredny, grymaśny
beautiful;piękny
except;oprócz, poza
industry;przemysł
as yet;jak dotąd
vodka;wódka
consult;radzić się, konsultować
behest;rozkaz lub prośba
dazed;oszołomiony
strike back;kontratakować
What's the matter with you?;Co się z tobą dzieje?
suitable;odpowiedni
steroids;sterydy, steroidy
avoidance;unikanie
get tempted;skusić się, ulegać pokusie
facilitate;udostępniać, ułatwiać
puzzle;zagadka, układanka
extend sth to sth;poszerzyć coś na coś
clump;kępka, grupka
prediction;przewidywanie
cousin;kuzyn(ka)
venom;jad, jadowitość
chef;szef kuchni
gallon;galon
decade;dziesięciolecie, dekada
introduction;wprowadzenie, wstęp
unwitting;nieświadomy
intrusion;wtargnięcie
wheel;koło, krążyć
you drive me crazy;doprowadzasz mnie do szaleństwa
superior;lepszy, przełożony(boss)
licence;pozwolenie, licencja
upholstery;tapicerka, obicie
scary;straszny
pudding;pudding
mushy;papkowaty, brejowaty
gracious;uprzejmy, elegancki
unpack;rozpakować
jerkin;kamizelka, bezrękawnik
foe;wróg, nieprzyjaciel
emotionally;emocjonalnie, uczuciowo
miserable;nieszczęśliwy, nędzny, marny
beg;żebrać, błagać
collaborator;współpracownik, kolaborant
parking lot;(US) parking
grow up;dorastać, rozwijać się
generosity;hojność, wielkoduszność
few;niewiele, mało
conditional;warunkowy
disk;dysk, dyskietka
purview;zasięg, zakres, obszar
fuss;zgiełk, zamieszanie
trek;wyprawa, wędrówka, wędrować
take;took taken - brać
censor;cenzurować
gun;pistolet, strzelba, działo
person;osoba
big-headed;zarozumiały
dinosaur;dinozaur
airport;lotnisko
scar;blizna
outgoing;otwarty
on average;przeciętnie, średnio
shameful;haniebny, zawstydzający
ethics;etyka
platform;podium, peron, platforma
thanks;dzięki
simpleness;prostota
hunt;polować, polowanie
bleat;beczeć(jak owce i barany), beczenie, biadolić, biadolenie
aluminium;(UK) aluminium, glin
shudder;dreszcz, ciarki, drżeć(z zimna, strachu)
elementary;elementarny, podstawowy
crackle;trzaskać
panic;panika, wpadać w panikę
talon;pazur
come across sth;natknąć się na coś
troupe;trupa(wędrowny zespół aktorów)
Thursday;czwartek
satisfactory;satysfakcjonujący, zadowalający
rosily;pogodnie, optymistycznie
motorway;autostrada
bug;insekt, robak, wirus, błąd, pluskwa, urządzenie podsłuchowe
farmer;rolnik
collaborating;współpracowanie, kolaborowanie(asystowanie wrogowi)
per;na
calcium;wapń
chilli;(UK)chili
flexible;elastyczny, giętki
nature;natura, przyroda
indifferent;obojętny, mierny
native;tubylec, rodowity
embroidered;haftowany, wyszywany
tumor;guz(US)(MED)
combe;wąska dolina
toward(s);do, ku
potato;pl potatoes - ziemniak
unbind;unbound unbound - rozwiązywać, uwalniać
imagine;wyobrażać sobie
snail;ślimak
ellipse;elipsa
bakery;piekarnia
unsteady;chwiejny, niepewny
grease;smar, tłuszcz, smarować tłuszczem
meet up (with sb);spotykać się (z kimś)
perplexity;ambaras, zamieszanie
correspond;zgadzać się, korespondować
outward;(US) zewnętrzny, na zewnątrz
frog;żaba
work in/at/for;pracować na (np. stacji bezynowej)
auxiliary;pomocniczy, posiłkowy, zapasowy
shit;gówno, srać, cholera
antagonist;oponent, przciwnik
enterprise;przedsiębiorstwo
shadow;cień
hot spot;punkt zapalny
gutter;runsztok, ściek, rynna
reward;nagroda, nagradzać
shyly;nieśmiało
anxious;zaniepokojony, niepokojący
stallion;ogier
blurry;nieostry, niewyraźny
specification;specyfikacja, wykaz
shell;skorupka, nabój, powłoka systemowa(computer)
deep;głęboki
gruesome;makabryczny, przerażający
assembling;montaż, składania, zbieranie
smuggler;przemytnik, szmugler
doorway;drzwi
stature;renoma, ranga, postura(osoby)
overbearing;dominujący, narzucający się, decydujący
break into;włamywać się gdzieś
literature;literatura
economise;(UK) oszczędzać
in;w(area - I live in London)
furious;wściekły
branch;gałąź, oddział, rozgałęziać się
dweller;mieszkaniec(-nka)
fleece;runo, wełna
less;mniej
din;hałas, hałasować
middle;środek, połowa
seal;foka, pieczęć, pieczętować
greedy;chciwy, zachłanny
brandy;brandy, winiak
believer;zwolennik(-iczka), wyznawca(-czyni)
know by heart;znać na pamięć
tradition;tradycja
abbey;opactwo
feeding;karmienie
determine;ustalać, określać
hyperlink;hiperłącze
whale;wieloryb
factual;rzeczowy
disagreement;różnica zdań, niezgoda, niezgodność
convenient;dogodny
meagre;skąpy, skromny
saucepan;rondel
remember;pamiętać, przypominać sobie
chip;frytka, drzazga, odłamek, żeton, układ scalony, wyszczerbiać
larder;spiżarnia
become;became become - zostawać, stawać się
edge;skraj, krawędź, brzeg, okroić
forsake;forsook forsaken - opuścić, porzucić
commitment;zobowiązanie, oddanie
rascal;urwis, łobuz, łotr, kanalia
seize;schwytać, zajmować
always;zawsze
jeweler;(US)jubiler
evolve;rozwijać się, ewaluować
peck;dziobać, muskać, dziobanie, muśnięcie
scent;zapach, woń, trop, ślad, perfumy, wyperfumować, zwęszyć
alphabet;alfabet
solve;rozwiązywać
disappointment;rozczarowanie, zawód(o uczuciu)
stream;strumień, potok
customisation;(UK) adaptacja, dostosowywanie
integral part;nieodłączna część
flask;termos, kolba(używana przez chemików)
croak;rechotać(o żabie), rechot, krakać(o kruku), krakanie
exhausting;wyczerpujący
refactor;refaktoryzować
news;wiadomości
utterly;całkowicie
unauthorized;bezprawny, bez pozwolenia
rental;opłata(kwartalna, miesięczna for television, car)
feel like sth;mieć na coś ochotę
born;rodzić się
develop;rozwijać się
encourage;zachęcać
silicon;krzem
to;do, żeby
shopping mall;centrum handlowe
perfection;perfekcja, doskonałość
coachman;woźnica
stepfather;ojczym
bewail;oplakiwać, lamentować nad czymś
moan;jęk, jęczeć
fringe;grzywka
psychiatrist;psychiatra
carrot;marchewka
handful;garść
cloud;chmura
vector product;iloczyn wektorowy
signature;podpis
compete;brać udział, rywalizować
broken;zepsuty, rozbity, złamany
despise;gardzić
rent;czynsz, wynajmować
properly;odpowiednio, właściwie
steam;para(wodna), gotować na parze, parować
betake oneself;udać się
household;gospodarstwo domowe, gospodarski
mulled wine;grzane wino
creature;stworzenie
fable;bajka
objective;obiektywny, cel
camp;obóz, obozować
doll;lalka
dominion;władza, zwierzchnictwo
mountain;góra
dinnerware;naczynia stołowe(zastawa stołowa)
lush;bujny, luksusowy
communication;komunikowanie się, wiadomość
instantly;natychmiast, od razu
drake;kaczor
awesome;robiący wrażenie, fantastyczny
bring out;ośmielać, wypuszczać(na rynek)
engaged;zaręczony, zajęty
pit;dół, wykop
underfoot;pod stopami
attitude;postawa
pose;poza, pozować
fall in love with;zakochiwać się w
rinse;płukanie, płukać
deceiver;oszust, kłamca
Japanese;Japończyk(ka), japoński
feed;fed fed - karmić, żywić
vista;perspektywa
dew;rosa
bode;wróżyć, zapowiadać
sparkling water;woda gazowana
load;ładunek, obciążenie, załadowywać
cower;kulić się, skulić się
hopeless;beznadziejny
proclaim;obwieszczać, ogłaszać, świadczyć o
beggar;żebrak
port;port(harbour), port(COMPUT), portowy
bustling;tętniący życiem
banner;transparent, sztandar
definite;dokładny, konkretny
concentrate;koncentrować się
own;posiadać, własny
entire;cały
vitality;witalność
stepdaughter;pasierbca(niespokrewniona przybrana córka)
historical;historyczny
upsetting;przykry
tap;kran, stuknąć, puknąć
unlock;otworzyć, odblokować
difference;różnica
rattle;stukanie, brzęk, stukać, brzęczeć
cluster;grupka, gromadka
cover with;zakrywać czymś
scowling;gniewny
discharge;wypisać, wypis, wydzielać, spłacać
insurance;ubezpieczenie
roll;rolka, bela, zwitek, werbel(DRUMS) toczyć
handcraft;rękodzieło, robótka ręczna
university;uniwersytet
iceberg;góra lodowa
padding;wyściółka, wypełniacz
matey;zakolegowany, koleś
divisibility;podzielność
oarsman;wioślarz
electrical;elektryczny
dish;naczynie, półmisek, potrawa
mine;mój, kopalnia, mina, wydobywać, minować
reveal;ujawniać, odsłaniać
even;nawet, równy, płaski, parzysty(number)
review;przegląd, recenzja
sleep;slept slept - sen, spać
trinket;błyskotka, świecidełko
heath;połać nieużytku, wrzosowisko
whisker;wąs
flora;flora
pink;różowy, goździk(BOT)
peppermint;miętówka, mięta pieprzowa
useless;bezużyteczny
drone;bzyczenie, brzęczenie, bzyczeć, brzęczeć
disorganized;zdezorganizowany
college;uczelnia wyższa, szkoła pomaturalna
settle down;uspokoić, ustabilizować się
cut off;odcinać
dependence;uzależnienie, zależność
insult;zniewaga,obelga, znieważać
farewell;żegnaj, pożegnanie, pożegnalny
thing;rzecz
naughty;niegrzeczny
path;ścieżka, dróżka
kennel;psia buda
cushion;poduszka(do siedzenia), zamortyzować(upadek)
extract;wyciągać, wydobywać, fragment
do part-time work;wykonywać pracę na niepełny etat
foretell;foretold foretold - przepowiadać, wróżyć
garden;ogród
hideout;kryjówka
favourite;ulubiony, faworyt
unwrap;rozpakować
thimble;naparstek, nasadka
underlie;underlay underlain - podkładka, podkładać pod spód
snare;sidła, wnyki, pułapka, łapać w sidła
vintage;dobry rocznik, klasyczny
anxiety;niepokój, obawa, lęk
participate;udzielać się
well-known;dobrze znany
scoop;łopatka, łyżka
plenty of;pełno, dużo
thunder;grzmot, grzmieć
insignificant;mało znaczący, nieznaczny
unbelievable;niewiarygodny
suck sb;robić komuś minetę, obciągać komuś
squeezed;ściśnięty, wyciśnięty
blow;blew blown - cios, wiać, dmuchać
self-service;samoobsługa, samoobsługowy
country of origin;kraj pochodzenia
sell;sold sold - sprzedawać
sixteen;szesnaście(16)
pension;emerytura, renta
employer;pracodawca
success;sukces
revenge;zemsta, mścić się
wallowing;tarzanie się, taplanie się
village;wieś, wioska
conquer;zdobywać, podbijać
vex;irytować
self-development;samorozwój
mousetrap;pułapka na myszy
proud;dumny
ax;siekiera, topór(US)
stake;słup, udział, stawka, stawiać
intwine;splatać
damp;wilgotny, wilgoć, zwilżyć
lean;leaned/leant leaned/leant - pochylać się
still;nieruchomy, nadal, ciągle, jeszcze
extrovert;ekstrawertyk
intimidating;przerażający, zastraszający
revel;ucztować, biesiada, uczta, biesiadny
rewarding;przynoszący satysfakcję, cenny
iteration;powtórzenie, iteracja, wersja
wallow;tarzać się, taplać się, pogrążać się
resentment;uraza
removable;usuwalny, ruchomy
community;społeczność, społeczeństwo
pastime;hobby
hiding place;kryjówka, schowek
strap on;przypinać
longing;pragnienie, tęsknota, stęskniony
cradle;kołyska, kolebka, przytulać, kołysać
unable;nie umieć, nie potrafić
unnoticed;niezauważony
award;nagroda, przyznać nagrodę
skyscraper;drapacz chmur
obscure;niejasny, mało znany, mroczny, zaciemnić, przyciemniać
yarn;historyjka, opowieść, przędza, włókno, opowiadać bajki, prząść
comical;komiczny
briskly;żwawo, energicznie
absence;nieobecność
strictness;surowość
thunderous;ogłuszający, gromki
harmony;harmonia, zgoda, zgodność
pang;skurcz, ściśnięcie serca
frost;mróz
clatter;brzęk, stukot, brzęczeć, stukotać
generally;generalnie
terrific;=very great - wspaniały, zawrotny
right;prawidłowy, prawy, dobrze(w sensie ok)
bay;zatoka
unmistakable;niewątpliwy, nie do pomylenia
huge;ogromny
confess;wyznawać, przyznawać się
freshman;student pierwszego roku
dispersing;rozpraszanie się
princess;księżniczka
screen;ekran, wyświetlać
flat tyre;(UK) przebita opona, kapeć
corporation;korporacja
tragedy;tragedia
The longer the nights, the shorter the days;Im dłuższe noce, tym krótsze dni
sugar beet;burak cukrowy
jumper;pulower, skoczek
marquee;markiza(rodzaj składanego daszka)
exuberant;obfity, płodny, pełen energii, entuzjastyczny
dryly;sucho
jack;podnośnik, lewarek, walet(Cards), biała kula do której celują grający(bowls)
weep;wept wept - płakać
swim away;odpływać
barcode reader;czytnik kodów kreskowych
grow;grew grown - rosnąć
curse;kląć, przeklinać, klątwa, przekleństwo
due;planowy, planowany
feud;waśń, być zwaśnionym
Jurassic;jurajski
waitress;kelnerka
quite;całkiem, dość
angry;zły, rozgniewany
consoling;pocieszający
overpower;obezwładnić, zwyciężyć
kit;strój, ekwipunek, komplet, zestaw
dinnerware set;zestaw obiadowy
agency;agencja, urząd
evening;wieczór
uncommon;niezwykły
trust;zaufanie, ufać
react to;reagować na
carve up;parcelować, pokroić
imprecise;niedokładny, nieprecyzyjny
perish;umierać, rozkładać się
marathon;maraton
lapis lazuli;lazuryt(MINERAŁ), lazurowy
which;który
graduate of sth;absolwent czegoś(uniwersytetu)
market;targ, rynek, sprzedawać
related;powiązany, pokrewny
marry;pobierać się
goat;koza, kozioł
toad;ropucha
unplanned;nieplanowany, nieprzewidziany
manufacture;produkować, produkcja
tigeress;tygrysica
anchorage;miejsce zakotwiczenia
on the premises;na miejscu
executor;wykonawca, egzekutor
endowed;obdarzony
inward;skryty, skierowany do wewnątrz
disability;kalectwo, invalidztwo, upośledzenie
negative;negatywny, ujemny, negatyw(PHOTO)
bad;worse the worst - zły
gate;brama
be out of stock;brak na składzie
inexpensive;niedrogi
raft;tratwa
bias;uprzedzenie, skos, uprzedzać
utilization;użytkowanie, wykorzystanie
breast;pierś
beard;broda, zarost
turn over;rozruszać, odwrócić
disturb;przeszkadzać
Easter egg;pisanka
excuse;usprawiedliwienie, wymówka, usprawiedliwiać
majority;większość
alone;sam, samotnie
anniversary;rocznica
unlearn;oduczyć się
refreshment;odpoczynek
wheat;pszenica
mercilessly;bezlitośnie, okrutnie
thrilled;podekscytowany
wiry;silny, szorstki
Switzerland;Szwajcaria
guard;strażnik, straż, chronić, pilnować
fend;obronić
astonished;zdziwiony, zaskoczony
void;nieważny, unieważniać, pusty, próżny
sour;kwaśny
shoot down;zestrzelić
impression;wrażenie, impresja
sheriff;szeryf
duckling;kaczątko, kaczuszka
boundary;granica
introduce;wprowadzać, przedstawiać
silent;cichy
free;wolny, bezpłatny
gasp;łapać powietrze, dyszeć
rub;pocierać, trzeć, tarcie
match;mecz, zapałka, pasować do
square;kwadrat, plac, kwadratowy
hiking;wycieczki piesze
residue;pozostałość, posmak
silent as the grave;milczący jak grób
fire;ogień, strzelać
pearl;perła
navigator;nawigator, pilot(AUTO)
cheaply;tanio
unbidden;nieproszony
terrify;przerażać
plate;talerz
quarrel;sprzeczać się, kłócić się, sprzeczka, kłótnia
suburban;podmiejski
glittering;błyskotliwy, mieniący się
longitude;długość geograficzna
hoe;motyka, pielić
wooer;zalotnik, konkurent
habitat;środowisko
bilateral;dwustronny
pointed;ostro zakończony, spiczasty
basement;suterena
carry;nieść, przenosić
black;czarny
turnip;rzepa(warzywo)
actual;rzeczywisty, faktyczny
shrimp;krewetka
survive;przeżyć, przetrwać
circle;okrąg, koło, okrążać
flake;płatek
romantic;romantyczny
vizier;wezyr
crooked;krzywy, nieuczciwy
question;pytanie, pytać
car;samochód
at once;od razu, natychmiast
therein;w tym, w niniejszym
flourish;kwitnąć, rozkwitać
mill;młyn, mielić
income;dochód
wise;mądry, cwany
artefact;artefakt
in particular;w szczególności
symptom;objaw, symptom
dig;dug dug - kopać, kujon
lazybones;leń, wałkoń
self-employed;samozatrudniony, pracujący dla siebie
bailiff;komornik
range;łańcuch, zasięg, skala, zakres
survey;pomiar, przegląd, dokonywać pomiaru, ankieta, sondarz
embassy;ambasada
byte;bajt
coconut;kokos
armor;zbroja, opancerzenie(US)
incur;ponosić, wywoływać
degree;stopień, stopień naukowy
merciful;litościwy, miłosierny
tar;smoła, smołować
lambkin;jagniątko, aniołeczek(np. o dziecku)
eager;gorliwy, podniecony
tempo;pl tempos/tempi - tempo
near;bliski, niedaleki
bottom;dno
boast;chwalić się, przechwalać się, przechwała
clumsy;niezdarny, nieporęczny
linguistics;językoznawstwo, lingwistyka
bat;nietoperz
sound;dźwięk
donation;ofiarowanie, darowizna
nogging;rygiel
straight;prosty
skeletal;szkieletowy
prize money;wygrana pieniężna
snag;przeszkoda, trudność, rozedrzeć
boulder;głaz
dimension;wymiar, rozmiary
forever;trwale, (na) zawsze, ciągle
ski;narta, jeździć na nartach
to immerse sth (in);zanurzać coś (w)
scoundrel;drań, łotr, łajdak
doubloon;dawna moneta hiszpańska
popular;popularny
honeymoon;podróż poślubna, miesiąc miodowy
tapestry;arras(tkanina dekoracyjna), tapeta, bogactwo
vine;winorośl
analogous;analogiczny
restore;przywracać
drain;odpływ, rura kanalizacyjna, spuszczać wodę, odprowadzać wodę
myth;mit
widowed;owdowiały
external;zewnętrzny
uncertain;niepewny
get in;wchodzić, wjeżdżać
What's up?;Co jest? Co słychać?
title;tytuł
cash;gotówka
simplicity;prostota
tired;zmęczony
slim;szczupły, odchudzać się
convenience;wygoda
paw;łapa
merger;fuzja
vapor;(US) mgła, para
pupil;uczeń
stepsister;siostra przyrodnia
swift;jerzyk(ZOOLOGY), szybki
cab;taksówka, powóz, dorożka
pleading;pismo procesowe
raspy;chrapliwy, szorstki(voice)
breast pocket;kieszeń na piersi(koszula, marynarka)
pyjamas;piżama
perfect;doskonały, doskonalić
region;region, okolica
How much is it?;Ile to kosztuje?
period;okres, czas
conclude;wywnioskować, zakończyć
postman;listonosz
collocation;zwrot, wyrażenie
supporter;zwolennik, kibic
islet;wysepka
idleness;bezczynność, próżniactwo
corporal;kapral(stopień wojskowy), korporał(element bielizny kielichowej)
serviette;serwetka
foolishly;głupio, niemądrze
sadness;smutek
tent;namiot
creed;wyznawane poglądy
ruffian;brutalny, łotr, zbój
club;klub, pałka, tłuc pałką
diploma;dyplom, świadectwo, dyplomowy
granddaughter;wnuczka
peculiar;dziwny, osobliwy
treadle;pedał(przy maszynie do szycia)
zealous;gorliwy, zagorzały
smartphone;smartfon
excite;ekscytować, emocjonować
mouse;pl mice - mysz
stinger;(US) żądło
flatmate;współlokator
marriage;małżeństwo
garland;wianek, ozdabiać
thermal;termiczny, cieplny
option;opcja
voting;głosowanie
Can I take a message?;Czy mogę zostawić wiadomość?
dog-weary;skonany, wykończony
axis;pl axes - oś
loft;poddasze, strych
colour;kolor, malować, kolorowy(UK)
grandfather;dziadek
work;praca, pracować
terror;przerażenie
preview;pokaz przedpremierowy
fork;widelec, widły, rozwidlenie, rozwidlać się
gasoline;(US)benzyna
domain;dziedzina, królestwo, domena
acoustic;akustyczny
rise;rose risen - wzrost, podwyżka, rosnąć, podnosić się
curved;zakrzywiony, zaokrąglony
vertex;pl vertices, vertexes - wierzchołek
the Treasury;Skarb Państwa, Ministerstwo Finansów
grimly;groźnie, okrutnie
astray;zabłąkany, zagubiony
cymbal;talerz(perkusyjny)
international;międzynarodowy
cowardice;tchórzostwo
kitten;kociak, kocić się
weed;chwast, pielić
advantage;korzyść, zaleta
shirt;koszula
fussy;wybredny, kapryśny, kiczowaty
outset;początek, na początku
in the distance;w oddali
be a fixture;zapuścić korzenie, być stałym elementem krajobrazu
cannonball;kula armatnia
document;dokument, opisywać
vintage wine;wino z dobrego rocznika
performance bonus;premia za wyniki pracy
fort;fort(w którym stacjonują żołnierze)
reception;przyjęcie
slipper;kapeć(but)
vast;rozległy, olbrzymi
alarm;obawa, alarm, niepokoić, alarmować
to evolve into;przekształcać się w
reunion;zjazd, spotkanie(po latach)
inspiring;porywający, inspirujący
embrace;uścisk, objęcia, obejmować, wyściskać
round;okrągły, okrążać, runda(in boxing)
nitrogen;azot
drum;bęben, beczka, bębnić
nobleman;pl noblemen - arystokrata, szlachcic
velvet;aksamit, aksamitny
horde;horda
greet;pozdrawiać, witać
suitcase;walizka
directly;bezpośrednio
unbroken;niezłamany, nieprzerwany
emotional;emocjonalny, wzbudzający emocje
south;południe, południowy
attacker;agresor, napastnik
fortress;forteca
bull;byk
shovel;łopatka, szufla, przerzucać(łopatką)
smoke;dym, palić
department;dział, instytut, departament
rightful;legalny, sprawiedliwy
Could you transfer me to the IT department, please?;Czy możesz mnie połączyć z działem IT?
nineteen;dziewiętnaście(19)
windy;wietrzny
pint;pół kwarty(MEASURE), duże piwo
railway;kolej, linia kolejowa
meringue;beza
technical;techniczny
cheque;czek
bound;granice
injustice;niesprawiedliwość
bookcase;biblioteczka, regał na książki
wash;prać, myć
rely on;polegać na, liczyć na
vein;żyła
mugger;bandyta(uliczny)
dimly;słabo
icon;ikona
discomfort;zakłopotanie, dyskomfort, niewygoda
colony;kolonia
witcher;wiedźmin
look for;szukać
vulture;sęp, szakal
final;ostatni, końcowy, największy, finał
order;rozkaz, nakazywać, zamówienie, porządek, zakon
veterinary surgeon;weterynarz
lotus;pl lotuses - lotos, kwiat lotosu
pork;wieprzowina
destiny;przeznaczenie
reform;reforma, reformować
berserker;berserker(legendarny wojownik nordycki walczący w stanie furii)
story;historia, opowieść
needful;konieczny, potrzebny
overseas;za granicą, zagraniczny
wolf;pl wolves - wilk
oat;owies
lemon;cytryna, cytrynowy
throughout;w całym, przez cały, wszędzie
spectator;widz
revise;poprawiać, powtarzać(for exam)
unwittingly;nieświadomie
adjustment;regulacja
spinning wheel;kołowrotek
variegated;barwny, urozmaicony
barbecue;grill, przyjęcie z grillem
latch;zasuwa, zatrzask
hawk;jastrząb
afternoon;popołudnie
boring;nudny
hold down;przytrzymywać
snake;wąż
stinker;drań(person)
short circuit;zwarcie
villein;pańszczyźniak(chłop w średniowieczu)
scratched;podrapany, zarysowany
robbery;rabunek, napad
mud;błoto
recovery;wyzdrowienie, odzyskanie
ice cream;lody
many;dużo, wiele(use with countable nouns)
confused;zakłopotany, pogmatwany
sailboat;żaglówka
ninety;dziewięćdziesiąt(90)
storage;przechowywanie, składowanie, pamięć(Computer)
stepmother;macocha
pond;staw
reader;czytelnik(iczka), czytanka
entice;kusić, zwabić
to wrestle (with sb);mocować się (z kimś)
fly off;odlecieć
come on;postępować naprzód, no już! no dalej!
appalling;przerażający
peaceful;pokojowy
satellite;satelita, satelitarny
rampion;dzwonek rapunkuł(gatunek rośliny)
seafood;owoce morza
tremendous;olbrzymi, ogromny
consistent with;zgodny z
wallpaper;tapeta, tapetować
discourage;zniechęcać
sane;rozsądny, przy zdrowych zmysłach
mythic;mityczny, sławny
complete;kompletny, ukończyć
hamlet;osada, wioska
angle;kąt(math), punkt widzenia, korzyść, ustawić pod kątem
iron;żelazo, żelazny, żelazko, prasować
hulking;niezdarny
empress;cesarzowa
smartly;elegancko
congestion;przekrwienie, zator
delay;odwlekać, zwlekać, opóźnienie
nutshell;skorupka od orzecha
curry powder;curry(PRZYPRAWA)
christen;chrzcić
beet;burak
modest;skromny
encrypt;szyfrować, kodować
nibble;skubać, szczypnąć, lekko ugryźć, kęs, gryz
ahead;z przodu, z wyprzedzeniem, naprzód
jigsaw;wyrzynarka, puzzle
start;początek, rozpoczynać
adornment;ozdoba, ozdabianie
wooden;drewniany
scrape;draśnięcie, zadrapanie
agreement;porozumienie, ugoda, zgodność
make sb do sth;zmusić kogoś do zrobienia czegoś
chick;pisklę, kurczątko, laska(ładna dziewczyna)
womb;macica, łono
very next day;już następnego dnia
scant;niewielki
inter;chować
legacy;spadek, dziedzictwo
fantastic;fantastyczny, wspaniały
hostage;zakładnik
mechanism;mechanizm
onward;(US) dalszy
lamentation;lament
initially;początkowo
pack;paczka, plecak, talia(CARDS), pakować
cane;trzcina, laska(for walking), chłostać
attack;atakować
insane;chory umysłowo, szalony
gesture;gest
serve;służyć, obsługiwać, podawać
clamber;wspinaczka, wdrapać się
shoal;ławica(FISH)
simultaneous;równoczesny, równoległy
versus;(in contrast to)a, (against) kontra, przeciw
execute;wykonywać, uruchamiać
inspire;inspirować
workshop;zakład, warsztat, warsztatowy
hysterics;atak histerii, zanosić się ze śmiechu
vessel;okręt, statek, naczynie
dismount;demontować, odinstalować
faithfully;wiernie
grenade;granat(hand grenade - granat ręczny)
draw up;sporządzać, rozrysować
traveler;(US) podróżnik(-iczka)
hurl;ciskać, miotać, wymiotować, rzut
bother;niepokoić, zawracać głowę , kłopot
fist;pięść
developer;inwestor
jeer;gwizdy, drwiny, szydzić, wyśmiewać
support;poparcie, wsparcie, popierać, utrzymywać(family)
mustang;mustang(dziki koń)
turning;zakręt
impulsive;odruchowy, nie planowany, impulsywny
salami;salami
abbreviation;skrót
thriller;dreszczowiec, kryminał
drily;sucho
carelessly;nieostrożnie
disgust;niesmak, obrzydzenie, zniesmaczyć, powodować wstręt
alienate;zrażać
ink-jet printer;drukarka atramentowa
human;ludzki, człowiek
cruise;pływać, odbywać rejs, rejs statkiem
singular;szczególny, niezwykły, pojedynczy
remote;odległy, zdalny
terrible;straszny, okropny
passer-by;pl passers-by - przechodzień
sacrament;sakrament
blow out;zgasić, zdmuchnąć
improbable;nieprawdopodobny
selection;wybór
server;serwer(COMP), ministrant
graduation;uroczystość wręczenia świadectw
redcurrant;czerwona porzeczka
hark!;posłuchajcie(old use)
splendid;znakomity, piękny, wspaniale, świetnie
reach;zasięg, docierać
undergrowth;niedorozwój, podszycie
fence;płot
enjoyment;przyjemność
lion;lew
apologize;przepraszać
fearful;przestraszony, straszny
personality;osobowość
extinction;wyginięcie, wymarcie
invade;najeżdżać, robić najazd
amount;ilość
dormitory;sypialnia w internacie, akademik
rape;gwałt, rzepak, gwałcić
stone;kamień, kamienny
treat;leczyć, traktować
another;inny
microprocessor;mikroprocesor
reminder;przypomnienie
baby-sitter;osoba do pilnowania dziecka, opiekun(ka) do dzieci
exceed;przekroczyć, przewyższyć
dream;dreamed/dreamt dreamed/dreamt -sen, śnić
inland;śródlądowy, wewnętrzny
other;inny
island;wyspa
paternal;ojcowski, rodzicielski
deprive;pozbawiać
napkin;serwetka
sail;żagiel, płynąć
employment;zatrudnienie
robe;toga, szlafrok
know sth/sb inside out;znać coś/kogoś na wylot
sandstorm;burza piaskowa
paperwork;papierkowa robota, dokumentacja
depend on;zależeć od
train service;połączenie kolejowe
distress;rozpacz, cierpienie, sprawiać przykrość
association;stowarzyszenie
entertaining;zabawny, przyjmowanie gości
indication;znak
hang;hung hung - wisieć, zwisać
wag;kiwać się, machać, żartowniś, kiwanie, machanie
relative;krewny, względny
fruit;owoc, owoce
coo;gruchanie, gaworzenie, gruchać, gaworzyć, coo!-o rety!
acquaintance;znajomy
patrol;patrol, patrolować
entertain;zabawiać, przyjmować
belief;przekonanie, wiara, wierzenie
sandwich;kanapka
uptight;nerwowy, spięty, skryty
fiddle;fałszować, szwindel, skrzypce, grać na skrzypcach
fiercely;dziko, gwałtownie
uneasiness;niepokój, zaniepokojenie
pill;pigułka
container ship;kontenerowiec
matrix;pl matrixes/matrices - matryca, macierz
commission;zlecenie, prowizja(od sprzedaży), zamawiać, komisja(europejska)
gangster;gangster
glorious;wspaniały
elapsed time;czas, który minął
squirrel;wiewiórka
blare;grzmieć
refer to;wspominać o, odnosić się do
cute;śliczny, milutki
dripping;ociekający, kapiący
atomic;atomowy
scarcely;niewiele, przed chwilą
fair;sprawiedliwy, jasny
parchment;pergamin
sneaking;potajemny, podstępny
fortunately;na szczęście
outside;zewnętrzna strona, na zewnątrz
